time,error
32.0110,0.010778
32.0436,0.008437
32.0768,0.007746
32.1106,0.001169
32.1451,0.004541
32.1770,0.011131
32.2104,0.002314
32.2439,0.005887
32.2769,0.007398
32.3106,0.009105
32.3437,0.003795
32.3772,0.013053
32.4105,0.008860
32.4439,0.006211
32.4775,0.006072
32.5105,0.007334
32.5441,0.006791
32.5775,0.002451
32.6104,0.009416
32.6441,0.003100
32.6777,0.009399
32.7109,0.008725
32.7447,0.005034
32.7777,0.007795
32.8113,0.007201
32.8443,0.012504
32.8769,0.006703
32.9109,0.006045
32.9441,0.012463
32.9776,0.009704
33.0109,0.010033
33.0444,0.003543
33.0777,0.011543
33.1109,0.001305
33.1444,0.007574
33.1777,0.010925
33.2112,0.005757
33.2442,0.009994
33.2779,0.010508
33.3112,0.015934
33.3447,0.411219
33.3780,0.409305
33.4113,0.414037
33.4448,0.397193
33.4779,0.398837
33.5113,0.382619
33.5449,0.368220
33.5781,0.347319
33.6116,0.325658
33.6447,0.306347
33.6784,0.286868
33.7117,0.265735
33.7450,0.239617
33.7780,0.219648
33.8119,0.191185
33.8452,0.170930
33.8791,0.141364
33.9120,0.127332
33.9458,0.120695
33.9791,0.117160
34.0127,0.099354
34.0459,0.088142
34.0794,0.089103
34.1129,0.067911
34.1460,0.073512
34.1794,0.053811
34.2129,0.062437
34.2460,0.065430
34.2796,0.061878
34.3128,0.062970
34.3464,0.060487
34.3794,0.042180
34.4128,0.064456
34.4461,0.064276
34.4800,0.067571
34.5131,0.069706
34.5462,0.080883
34.5798,0.068823
34.6129,0.069330
34.6462,0.073450
34.6800,0.073849
34.7131,0.055906
34.7466,0.078823
34.7800,0.073266
34.8132,0.064125
34.8467,0.069743
34.8802,0.061764
34.9133,0.065978
34.9467,0.056218
34.9800,0.063149
35.0136,0.044116
35.0464,0.048397
35.0798,0.051027
35.1133,0.045694
35.1468,0.041703
35.1802,0.039509
35.2136,0.034422
35.2469,0.034879
35.2803,0.015660
35.3140,0.010793
35.3466,0.028871
35.3804,0.029686
35.4136,0.016328
35.4475,0.027432
35.4804,0.029771
35.5156,0.013369
35.5474,0.013442
35.5808,0.012940
35.6141,0.009807
35.6474,0.010079
35.6811,0.011406
35.7144,0.003959
35.7473,0.009522
35.7809,0.004867
35.8143,0.010604
35.8476,0.009129
35.8810,0.014317
35.9150,0.012500
35.9478,0.007185
35.9812,0.012061
36.0148,0.012294
36.0480,0.010122
36.0812,0.013193
36.1143,0.009124
36.1479,0.005520
36.1811,0.007981
36.2149,0.007121
36.2483,0.005148
36.2815,0.003204
36.3148,0.011114
36.3483,0.002904
36.3814,0.011745
36.4147,0.001977
36.4488,0.010302
36.4813,0.005403
36.5150,0.005681
36.5483,0.005323
36.5816,0.009037
36.6151,0.015520
36.6481,0.007758
36.6821,0.013744
36.7161,0.008243
36.7484,0.321818
36.7820,0.312697
36.8152,0.332543
36.8488,0.330834
36.8822,0.322658
36.9154,0.316259
36.9488,0.302335
36.9823,0.301852
37.0155,0.287485
37.0486,0.254539
37.0820,0.238639
37.1156,0.234355
37.1489,0.214206
37.1821,0.192387
37.2158,0.181065
37.2492,0.160895
37.2826,0.144429
37.3159,0.125512
37.3494,0.111281
37.3825,0.108124
37.4163,0.099225
37.4489,0.091355
37.4840,0.078244
37.5157,0.064751
37.5494,0.060122
37.5829,0.058178
37.6163,0.054397
37.6493,0.050273
37.6830,0.027182
37.7160,0.038831
37.7501,0.043949
37.7831,0.030840
37.8178,0.031187
37.8499,0.030180
37.8829,0.020473
37.9164,0.017600
37.9500,0.020590
37.9830,0.015853
38.0169,0.026577
38.0509,0.020341
38.0833,0.010108
38.1168,0.008197
38.1506,0.016443
38.1838,0.017594
38.2180,0.015328
38.2511,0.013229
38.2836,0.011534
38.3166,0.006343
